date,TRIMP,distance_km,duree_min,fc_moyenne,vitesse_moy,cadence_moy,CTL,ATL,TSB,semaine,annee
2024-12-26,0.0,0.0,0.0,,,,27.07,50.96,-23.89,52,2024
2024-12-27,86.66,9.264,45.56666666666667,154.4845701689934,12.183014988978693,81.78623988226637,29.84,59.89,-30.05,52,2024
2024-12-28,0.0,0.0,0.0,,,,28.45,44.91,-16.46,52,2024
2024-12-29,0.0,0.0,0.0,,,,27.13,33.69,-6.56,52,2024
2024-12-30,0.0,0.0,0.0,,,,25.87,25.26,0.61,1,2024
2024-12-31,0.0,0.0,0.0,,,,24.66,18.95,5.71,1,2024
2025-01-01,0.0,0.0,0.0,,,,23.52,14.21,9.31,1,2025
2025-01-02,0.0,0.0,0.0,,,,22.42,10.66,11.76,1,2025
2025-01-03,0.0,0.0,0.0,,,,21.38,7.99,13.39,1,2025
2025-01-04,0.0,0.0,0.0,,,,20.38,6.0,14.38,1,2025
2025-01-05,0.0,0.0,0.0,,,,19.44,4.5,14.94,1,2025
2025-01-06,0.0,0.0,0.0,,,,18.53,3.37,15.16,2,2025
2025-01-07,36.34,4.0185,17.1,159.3622200584226,13.790727166504382,83.1209756097561,19.36,11.61,7.75,2,2025
2025-01-08,0.0,0.0,0.0,,,,18.46,8.71,9.75,2,2025
2025-01-09,0.0,0.0,0.0,,,,17.6,6.53,11.07,2,2025
2025-01-10,69.83,10.1225,49.9,141.51311754684838,12.4413865758092,81.80450358239509,20.03,22.36,-2.33,2,2025
2025-01-11,76.12,7.097,30.633333333333333,166.37692307692308,14.042375604395604,83.51156387665198,22.64,35.8,-13.16,2,2025
2025-01-12,80.59,8.1625,30.433333333333334,169.27640941434043,16.089152709359606,86.11958310477236,25.33,47.0,-21.67,2,2025
2025-01-13,80.25,7.5125,33.86666666666667,164.22813121272367,13.426924652087475,84.14043824701196,27.89,55.31,-27.42,3,2025
2025-01-13,121.27,13.247,57.56666666666667,158.972503617945,13.800947496382054,83.14662416690814,32.23,71.8,-39.57,3,2025
2025-01-14,0.0,0.0,0.0,,,,30.73,53.85,-23.12,3,2025
2025-01-15,0.0,0.0,0.0,,,,29.3,40.39,-11.09,3,2025
2025-01-16,0.0,0.0,0.0,,,,27.94,30.29,-2.35,3,2025
2025-01-17,57.77,6.948,34.11666666666667,149.4873515745999,12.835793495095508,83.54526642524573,29.33,37.16,-7.83,3,2025
2025-01-18,0.0,0.0,0.0,,,,27.96,27.87,0.09,3,2025
2025-01-19,189.84,16.181,70.51666666666667,170.03504617570448,13.7026152971821,83.7869163308841,35.49,68.36,-32.87,3,2025
2025-01-20,113.58,18.371,69.03333333333333,148.2664735698769,13.747302534395365,83.46777697320782,39.13,79.67,-40.54,4,2025
