session_file,date,distance_km,duree_min,fc_moyenne,fc_max,vitesse_moy,cadence_moy,allure_min_km,month_year
467927353476022277.fit,2025-03-28,8.742,40.31666666666667,147.18719008264463,183.0,12.999600000000001,80.6851081530782,4.615526631588664,2025-03
467974368872398851.fit,2025-03-30,14.227,62.55,152.66062866275973,169.0,13.653492914224827,83.15413333333333,4.39447988708364,2025-03
467974913259503627.fit,2025-03-30,2.106,8.783333333333333,157.70075757575756,164.0,14.45884090909091,83.3022813688213,4.149710227621037,2025-03
467998953531539473.fit,2025-03-31,12.764,58.88333333333333,150.72608941709112,188.0,12.9996,79.6879271070615,4.615526631588665,2025-03
468027133348839426.fit,2025-04-01,11.574,60.016666666666666,144.16907273736814,154.0,11.63942065519156,84.08087826570316,5.154895744165587,2025-04
468028374328049664.fit,2025-04-01,4.37,26.95,146.06616126809098,176.0,11.269262853204687,72.06703524533518,5.324216923641776,2025-04
468047538740559879.fit,2025-04-02,11.833,55.38333333333333,152.40854392298436,161.0,12.691508664259928,83.24759036144579,4.727570345436056,2025-04
468154792663875587.fit,2025-04-05,3.918,18.183333333333334,150.11904761904762,160.0,12.912847252747254,82.55055147058823,4.646535254820333,2025-04
468157549762347010.fit,2025-04-07,18.057,91.08333333333333,144.5554740509811,158.0,11.96209293966624,84.01486511286474,5.01584466051424,2025-04
468167959689330692.fit,2025-04-07,13.1395,247.26666666666668,106.44851942406954,135.0,12.017370171149144,44.396359684868244,4.992772890032611,2025-04
468190474713202689.fit,2025-04-08,7.204,35.05,143.44249049429658,154.0,12.394002661596957,84.23714285714286,4.841051082384474,2025-04
468209923667296279.fit,2025-04-09,11.68,51.61666666666667,156.61234487263226,171.0,13.76792606139778,83.85228758169934,4.357954838835656,2025-04
468258573569261574.fit,2025-04-11,19.735,90.45,153.8729016786571,173.0,13.09488810182623,85.0452279859701,4.581940642290202,2025-04
468282450095669249.fit,2025-04-12,13.019,54.65,159.50518292682926,172.0,14.323699756097561,83.33150183150182,4.188861887757607,2025-04
468369819394146313.fit,2025-04-16,13.024,60.083333333333336,153.97115917914587,166.0,12.9996,81.82351306281268,4.615526631588665,2025-04
468486523319255044.fit,2025-04-21,7.458,30.35,159.70694522868436,174.0,14.730197854319593,82.54046406338426,4.073265043239399,2025-04
468514217807347723.fit,2025-04-22,10.02,40.05,162.2741264559068,175.0,15.0012,81.00836820083683,3.999680025597952,2025-04
